Tiempo_ms	Voltaje_V
1778	3.04697
1780	3.05261
1781	3.04777
1782	3.04697
1783	3.04938
1785	3.05100
1786	3.05019
1787	3.04938
1788	3.04938
1789	3.04858
1791	3.06469
1792	3.07919
1793	3.04938
1795	3.04938
1796	3.05019
1797	3.04777
1798	3.04536
1800	3.05180
1801	3.04374
1802	3.04777
1803	3.04938
1804	3.04938
1806	3.04455
1807	3.04938
1808	3.03891
1809	3.05019
1811	3.05019
1812	3.05019
1813	3.04938
1814	3.05100
1815	3.05100
1817	3.04294
1818	3.05180
1819	3.05019
1820	3.04777
1822	3.04938
1823	3.04938
1824	3.05583
1825	3.05100
1827	3.03810
1828	3.05261
1830	3.04777
1831	3.04697
1832	3.04455
1834	3.04938
1835	3.04777
1836	3.05019
1837	3.04938
1839	3.01957
1840	3.05341
1841	3.05180
1843	3.05180
1844	3.05261
1845	3.04777
1847	3.05583
1848	3.05019
1849	3.05825
1850	3.04777
1852	3.04777
1853	3.05180
1943	3.05341
1944	3.05100
1945	3.04697
1947	3.04938
1948	3.05100
1949	3.05422
1950	3.04777
1951	3.04697
1952	3.04777
1953	3.05100
1954	3.04938
1955	3.04536
1957	3.04374
1958	3.04697
1959	3.04697
1960	3.04938
1961	3.04938
1962	3.05100
1963	3.04697
1964	3.04938
1966	3.05261
1967	3.05019
1968	3.04616
1969	3.04938
1970	3.05019
1971	3.05019
1972	3.05100
1973	3.05180
1974	3.05019
1975	3.04777
1977	3.05261
1978	3.05180
1979	3.04777
1980	3.05100
1981	3.04938
1982	3.05341
1984	3.05100
1985	3.08000
1986	3.04374
1987	3.04697
1988	3.04938
1989	3.04616
1991	3.04938
1992	3.05019
1993	3.04938
1994	3.05100
1995	3.04616
1996	3.05019
1998	3.05341
1999	3.05180
2000	3.04616
2001	3.05905
2002	3.04938
2004	3.04455
2005	3.05100
2006	3.04777
2007	3.05019
2008	3.06308
2010	3.04938
2011	3.05019
2012	3.04938
2013	3.05100
2014	3.05583
2016	3.05261
2017	3.04697
2018	3.04938
2019	3.05180
2021	3.05019
2022	3.05341
2023	3.05261
2024	3.04697
2026	3.05261
2027	3.05422
2028	3.05100
2029	3.05261
2031	3.04938
2032	3.04938
2033	3.05100
2034	3.05261
2036	3.04616
2037	3.04858
2038	3.05100
2040	3.05422
2041	3.05744
2042	3.04536
2043	3.05100
2045	3.05180
2046	3.04616
2047	3.04938
2049	3.04938
2050	3.04616
2051	3.04938
2053	3.05261
2054	3.04938
2055	3.04777
2057	3.04697
2058	3.04616
2059	3.05261
2061	3.05180
2062	3.04777
2109	3.05019
2110	3.05100
2111	3.04938
2112	3.10905
2114	3.04616
2115	3.02038
2116	3.05100
2117	3.04938
2118	3.04536
2119	3.05019
2120	3.04697
2121	3.07275
2122	3.05986
2124	3.04938
2125	3.04777
2126	3.04052
2127	3.05422
2128	3.05180
2129	3.04858
2130	3.05100
2131	3.05019
2132	3.05100
2134	3.04697
2135	3.05019
2136	3.05100
2137	3.04697
2138	3.05341
2139	3.04616
2140	3.05100
2142	3.04938
2143	3.04938
2144	3.04697
2145	3.04858
2146	3.05180
2147	3.04536
2149	3.04938
2150	3.05100
2151	3.04697
2152	3.05019
2153	3.04697
2154	3.05583
2156	3.05019
2157	3.04455
2158	3.05261
2159	3.05261
2160	3.04938
2161	3.04938
2163	3.07033
2164	3.04052
2165	3.05019
2166	3.04294
2167	3.05986
2168	3.04616
2170	3.05019
2171	3.04777
2172	3.05019
2178	3.05100
2179	3.05422
2181	3.04697
2182	3.05100
2183	3.04455
2184	3.05422
2186	3.04777
2187	3.05019
2188	3.05180
2189	3.05180
2191	3.04938
2192	3.04697
2193	3.11067
2195	3.02199
2196	3.05180
2197	3.05100
2199	3.03972
2200	3.05019
2201	3.04777
2202	3.05019
2204	3.05019
2205	3.04616
2206	3.04938
2208	3.05261
2209	3.05019
2210	3.05019
2211	3.04777
2213	3.04858
2214	3.04374
2215	3.04536
2217	3.08564
2218	3.04777
2219	3.04777
2220	3.04616
2222	3.04536
2223	3.04938
2224	3.07839
2226	3.04938
2227	3.04777
2228	3.05825
2230	3.04616
2231	3.04536
2232	3.05019
2234	3.05180
2285	3.04616
2287	3.04133
2288	3.04697
2289	3.04777
2290	3.04938
2291	3.04697
2292	3.04697
2293	3.05100
2294	3.04697
2295	3.04938
2297	3.04938
2298	3.04697
2299	3.04777
2300	3.05100
2301	3.04777
2302	3.04938
2303	3.04777
2304	3.04938
2306	3.05019
2307	3.05019
2308	3.05019
2309	3.05100
2310	3.05100
2311	3.04938
2312	3.04777
2313	3.05100
2314	3.04858
2316	3.05261
2317	3.04938
2318	3.04858
2319	3.05019
2320	3.04938
2321	3.04777
2322	3.05664
2324	3.04697
2325	3.04777
2326	3.07517
2327	3.05422
2328	3.04777
2329	3.04777
2331	3.05019
2332	3.04536
2333	3.05019
2334	3.04777
2335	3.04858
2336	3.10100
2338	3.05261
2339	3.04697
2340	3.05019
2341	3.05261
2342	3.05825
2344	3.05180
2345	3.05019
2346	3.04938
2347	3.05019
2348	3.05341
2349	3.04938
2351	3.03488
2352	3.04938
2353	3.04858
2354	3.09289
2356	3.05019
2357	3.04697
2358	3.05100
